"estadual_id","estadual_nome","estado","nivel","ano_referencia","time_id"
"paulistao_a2","Campeonato Paulista - Série A2","SP",2,2026,"juventus_sp"
"paulistao_a2","Campeonato Paulista - Série A2","SP",2,2026,"linense"
"paulistao_a2","Campeonato Paulista - Série A2","SP",2,2026,"monte_azul"
"paulistao_a2","Campeonato Paulista - Série A2","SP",2,2026,"osasco_sporting"
"paulistao_a2","Campeonato Paulista - Série A2","SP",2,2026,"santo_andre"
"paulistao_a2","Campeonato Paulista - Série A2","SP",2,2026,"sao_bento"
"paulistao_a2","Campeonato Paulista - Série A2","SP",2,2026,"sao_jose_sp"
"paulistao_a2","Campeonato Paulista - Série A2","SP",2,2026,"sertaozinho"
"paulistao_a2","Campeonato Paulista - Série A2","SP",2,2026,"taubate"
"paulistao_a2","Campeonato Paulista - Série A2","SP",2,2026,"votuporanguense"
"paulistao_a2","Campeonato Paulista - Série A2","SP",2,2026,"xv_de_piracicaba"
"paulistao_a3","Campeonato Paulista - Série A3","SP",3,2026,"bandeirante"
"paulistao_a3","Campeonato Paulista - Série A3","SP",3,2026,"catanduva"
"paulistao_a3","Campeonato Paulista - Série A3","SP",3,2026,"desportivo_brasil"
"paulistao_a3","Campeonato Paulista - Série A3","SP",3,2026,"francana"
"paulistao_a3","Campeonato Paulista - Série A3","SP",3,2026,"itapirense"
"paulistao_a3","Campeonato Paulista - Série A3","SP",3,2026,"marilia"
"paulistao_a3","Campeonato Paulista - Série A3","SP",3,2026,"paulista_jundiai"
"paulistao_a3","Campeonato Paulista - Série A3","SP",3,2026,"portuguesa_santista"
"paulistao_a3","Campeonato Paulista - Série A3","SP",3,2026,"rio_branco_americana"
"paulistao_a3","Campeonato Paulista - Série A3","SP",3,2026,"rio_claro"
"paulistao_a3","Campeonato Paulista - Série A3","SP",3,2026,"rio_preto"
"paulistao_a3","Campeonato Paulista - Série A3","SP",3,2026,"uniao_barbarense"
"paulistao_a3","Campeonato Paulista - Série A3","SP",3,2026,"uniao_sao_joao"
"paulistao_a3","Campeonato Paulista - Série A3","SP",3,2026,"ec_sao_bernardo"
"paulistao_a3","Campeonato Paulista - Série A3","SP",3,2026,"uniao_suzano"
"paulistao_a3","Campeonato Paulista - Série A3","SP",3,2026,"xv_de_jau"
"paulistao_a4","Campeonato Paulista - Série A4","SP",4,2026,"inter_de_bebedouro"
"paulistao_a4","Campeonato Paulista - Série A4","SP",4,2026,"sao_caetano"
"paulistao_a4","Campeonato Paulista - Série A4","SP",4,2026,"penapolense"
"paulistao_a4","Campeonato Paulista - Série A4","SP",4,2026,"sao_carlense"
"paulistao_a4","Campeonato Paulista - Série A4","SP",4,2026,"barretos"
"paulistao_a4","Campeonato Paulista - Série A4","SP",4,2026,"taquaritinga"
"paulistao_a4","Campeonato Paulista - Série A4","SP",4,2026,"jacarei"
"paulistao_a4","Campeonato Paulista - Série A4","SP",4,2026,"lemense"
"paulistao_a4","Campeonato Paulista - Série A4","SP",4,2026,"ecus"
"paulistao_a4","Campeonato Paulista - Série A4","SP",4,2026,"comercial_ribeirao_preto"
"paulistao_a4","Campeonato Paulista - Série A4","SP",4,2026,"tanabi"
"paulistao_a4","Campeonato Paulista - Série A4","SP",4,2026,"jabaquara"
"paulistao_a4","Campeonato Paulista - Série A4","SP",4,2026,"vocem"
"paulistao_a4","Campeonato Paulista - Série A4","SP",4,2026,"colorado_caieiras"
"paulistao_a4","Campeonato Paulista - Série A4","SP",4,2026,"nacional_catanduva"
"paulistao_a4","Campeonato Paulista - Série A4","SP",4,2026,"aracatuba"
"pernambucano_a1","Campeonato Pernambucano - Série A1","PE",1,2026,"sport_recife"
"pernambucano_a1","Campeonato Pernambucano - Série A1","PE",1,2026,"nautico"
"pernambucano_a1","Campeonato Pernambucano - Série A1","PE",1,2026,"santa_cruz"
"pernambucano_a1","Campeonato Pernambucano - Série A1","PE",1,2026,"maguary"
"pernambucano_a1","Campeonato Pernambucano - Série A1","PE",1,2026,"jaguar"
"pernambucano_a1","Campeonato Pernambucano - Série A1","PE",1,2026,"retro"
"pernambucano_a1","Campeonato Pernambucano - Série A1","PE",1,2026,"decisao"
"pernambucano_a1","Campeonato Pernambucano - Série A1","PE",1,2026,"vitoria_tabocas"
"pernambucano_a2","Campeonato Pernambucano - Série A2","PE",2,2025,"aguia_cumaru"
"pernambucano_a2","Campeonato Pernambucano - Série A2","PE",2,2025,"america_pe"
"pernambucano_a2","Campeonato Pernambucano - Série A2","PE",2,2025,"belo_jardim"
"pernambucano_a2","Campeonato Pernambucano - Série A2","PE",2,2025,"caruaru_city"
"pernambucano_a2","Campeonato Pernambucano - Série A2","PE",2,2025,"centro_limoeirense"
"pernambucano_a2","Campeonato Pernambucano - Série A2","PE",2,2025,"ipojuca"
"pernambucano_a2","Campeonato Pernambucano - Série A2","PE",2,2025,"porto_caruaru"
"pernambucano_a2","Campeonato Pernambucano - Série A2","PE",2,2025,"vera_cruz_pe"
